estimator,stratum,nominal,coverage
dirichlet,extreme,0.5,0
dirichlet,middle,0.5,0.008564814814814815
naive_boot,extreme,0.5,0
naive_boot,middle,0.5,0.007222222222222222
naive_mean,extreme,0.5,0
naive_mean,middle,0.5,0.007037037037037037
naive_steep,extreme,0.5,0.005486111111111111
naive_steep,middle,0.5,0.036944444444444446
pl_ranking,extreme,0.5,0.16229166666666667
pl_ranking,middle,0.5,0.23472222222222222
pl_trials,extreme,0.5,0.24888888888888888
pl_trials,middle,0.5,0.29375
dirichlet,extreme,0.8,0
dirichlet,middle,0.8,0.02074074074074074
naive_boot,extreme,0.8,0
naive_boot,middle,0.8,0.017037037037037038
naive_mean,extreme,0.8,0
naive_mean,middle,0.8,0.017407407407407406
naive_steep,extreme,0.8,0.010694444444444444
naive_steep,middle,0.8,0.07226851851851852
pl_ranking,extreme,0.8,0.31895833333333334
pl_ranking,middle,0.8,0.4265277777777778
pl_trials,extreme,0.8,0.4278472222222222
pl_trials,middle,0.8,0.5003703703703704
dirichlet,extreme,0.9,0
dirichlet,middle,0.9,0.03037037037037037
naive_boot,extreme,0.9,0
naive_boot,middle,0.9,0.025046296296296296
naive_mean,extreme,0.9,0
naive_mean,middle,0.9,0.025231481481481483
naive_steep,extreme,0.9,0.015625
naive_steep,middle,0.9,0.09638888888888889
pl_ranking,extreme,0.9,0.40208333333333335
pl_ranking,middle,0.9,0.51
pl_trials,extreme,0.9,0.5111805555555555
pl_trials,middle,0.9,0.5902314814814815
dirichlet,extreme,0.95,0
dirichlet,middle,0.95,0.03958333333333333
naive_boot,extreme,0.95,0
naive_boot,middle,0.95,0.03259259259259259
naive_mean,extreme,0.95,0
naive_mean,middle,0.95,0.032824074074074075
naive_steep,extreme,0.95,0.020902777777777777
naive_steep,middle,0.95,0.1174074074074074
pl_ranking,extreme,0.95,0.469375
pl_ranking,middle,0.95,0.5669444444444445
pl_trials,extreme,0.95,0.5661111111111111
pl_trials,middle,0.95,0.6504166666666666
