estimator,stratum,bias,rmse,width95
dirichlet,extreme,-0.03359003444176304,0.1108566397264996,0.0053946347628771275
dirichlet,middle,0.022393356294508702,0.028311609009948512,0.005276480452723701
naive_boot,extreme,-0.03369582565236518,0.11147957306542387,0.004970100447540995
naive_boot,middle,0.022463883768243462,0.02849795117108029,0.0049718610064918975
naive_mean,extreme,-0.03369582565236518,0.11147957306542387,0.004989783507130571
naive_mean,middle,0.022463883768243462,0.02849795117108029,0.004989900215525945
naive_steep,extreme,-0.030426909626102245,0.09899199421784977,0.011536193091422974
naive_steep,middle,0.020284606417401502,0.025191282907020985,0.010709235934893167
pl_ranking,extreme,0.019879388703641573,0.10854029941892221,0.061683270048511075
pl_ranking,middle,-0.013252925802427706,0.02780701403257417,0.03556771919138885
pl_trials,extreme,-0.009644723128986362,0.05051245725476627,0.03289064207834118
pl_trials,middle,0.0064298154193242465,0.013474101104012991,0.021405982525211552
